 1             16 
 17            16 
 33            16 
 49            16 
 65            16 
 81            16 
 385           8 
 393           8 
 401           8 
 409           8 
 417           8 
 425           8 
 577           8 
 585           8 
 593           8 
 601           8 
 609           8 
 617           8 
 769           24 
 793           24 
 817           24 
 841           24 
 865           24 
 889           24 
 1345          24 
 1369          24 
 1393          24 
 1417          24 
 1441          24 
 1465          24 
 1921          28 
 1949          28 
 1977          28 
 2005          28 
 2033          28 
 2061          28 
 2593          28 
 2621          28 
 2649          28 
 2677          28 
 2705          28 
 2733          28 
 3265          12 
 3277          12 
 3289          12 
 3301          12 
 3313          12 
 3325          12 
 3553          24 
 3577          24 
 3601          24 
 3625          24 
 3649          24 
 3673          24 
 4129          24 
 4153          24 
 4177          24 
 4201          24 
 4225          28 
 4253          28 
 4737          12 
 4749          12 
 4761          12 
 4773          12 
 4785          12 
 4797          12 
 5025          28 
 5053          28 
 5081          28 
 5109          28 
 5137          28 
 5165          28 
