 32           -72           -120           33            1 
 32            72           -120           3             1 
 51           -101          -88            30            1 
 69           -37           -120           30            1 
 69            37           -120           30            1 
 51            101          -88            30            1 
 88           -72           -88            33            1 
 88            72           -88            3             1 
 88           -101          -51            33            1 
 120          -37           -69            33            1 
 120           37           -69            33            1 
 88            101          -51            33            1 
 120          -72           -32            33            1 
 120           72           -32            3             1 
 101          -101           0             0             1 
 138          -37            0             0             1 
 138           37            0             0             1 
 101           101           0             0             1 
 120          -72            32            33            0 
 120           72            32            3             0 
 88           -101           51            3             0 
 120          -37            69            3             0 
 120           37            69            3             0 
 88            101           51            3             0 
 88           -72            88            33            0 
 88            72            88            3             0 
 51           -101           88            6             0 
 69           -37            120           6             0 
 69            37            120           6             0 
 51            101           88            6             0 
 32           -72            120           33            0 
 32            72            120           3             0 
 0            -101           101           9             0 
 0            -37            138           9             0 
 0             37            138           9             0 
 0             101           101           9             0 
-32           -72            120           33            0 
-32            72            120           3             0 
-51           -101           88            12            0 
-69           -37            120           12            0 
-69            37            120           12            0 
-51            101           88            12            0 
-88           -72            88            33            0 
-88            72            88            3             0 
-88           -101           51            15            0 
-120          -37            69            15            0 
-120           37            69            15            0 
-88            101           51            15            0 
-120          -72            32            33            0 
-120           72            32            3             0 
-101          -101           0             18            1 
-138          -37            0             18            1 
-138           37            0             18            1 
-101           101           0             18            1 
-120          -72           -32            33            1 
-120           72           -32            3             1 
-88           -101          -51            21            1 
-120          -37           -69            21            1 
-120           37           -69            21            1 
-88            101          -51            21            1 
-88           -72           -88            33            1 
-88            72           -88            3             1 
-51           -101          -88            24            1 
-69           -37           -120           24            1 
-69            37           -120           24            1 
-51            101          -88            24            1 
-32           -72           -120           33            1 
-32            72           -120           3             1 
 0            -101          -101           27            1 
 0            -37           -138           27            1 
 0             37           -138           27            1 
 0             101          -101           27            1 
